s	pop	prob_EUR	prob_EAS	prob_AMR	prob_CSA	prob_AFR	prob_OCE	prob_MID	true_pop
HG02395	EAS	0.00043845797662103004	0.9976435897996231	0.0005593071762929038	0.00016479793081312712	0.0004972416077597296	0.0003162628003520913	0.00038034270853796835	EAS
HG02489	AFR	0.0004738633335956558	0.0006326451399223645	0.0012662656489302211	0.0004074607818990754	0.9964404042494366	0.00035794807508980636	0.0004214127711262983	AFR
HG02524	EAS	0.00043845797662103004	0.9976435897996231	0.0005593071762929038	0.00016479793081312712	0.0004972416077597296	0.0003162628003520913	0.00038034270853796835	EAS
HG02541	AFR	0.0004738633335956558	0.0006326451399223645	0.0012662656489302211	0.0004074607818990754	0.9964404042494366	0.00035794807508980636	0.0004214127711262983	AFR
HG02549	AFR	0.0004738633335956558	0.0006326451399223645	0.0012662656489302211	0.0004074607818990754	0.9964404042494366	0.00035794807508980636	0.0004214127711262983	AFR
HG02555	AFR	0.0004738633335956558	0.0006326451399223645	0.0012662656489302211	0.0004074607818990754	0.9964404042494366	0.00035794807508980636	0.0004214127711262983	AFR
HG02588	AFR	0.0004738633335956558	0.0006326451399223645	0.0012662656489302211	0.0004074607818990754	0.9964404042494366	0.00035794807508980636	0.0004214127711262983	AFR
HG02600	CSA	0.000596025193371866	0.0023538476067160486	0.0006780892148318242	0.9948555519724124	0.0006091667772240163	0.0004227539953601	0.0004845652400837698	CSA
HG02688	CSA	0.000596025193371866	0.0023538476067160507	0.0006780892148318224	0.9948555519724124	0.0006091667772240169	0.0004227539953601004	0.0004845652400837698	CSA
HG02694	CSA	0.0005960246815905419	0.002353845086410196	0.0006780882182408758	0.9948555577026456	0.0006091659738559938	0.00042275358306636857	0.00048456475419047346	CSA
HG02703	AFR	0.0004738633335956558	0.0006326451399223645	0.0012662656489302211	0.0004074607818990754	0.9964404042494366	0.00035794807508980636	0.0004214127711262983	AFR
HG02733	CSA	0.0005960249731518746	0.002353846455063342	0.0006780887118228966	0.9948555545854108	0.0006091664451654121	0.0004227538067483401	0.0004845650226371968	CSA
HG02775	CSA	0.0005960251933718718	0.002353847606716059	0.0006780892148318368	0.9948555519724124	0.0006091667772240219	0.00042275399536010445	0.000484565240083775	CSA
